timestamp,value
2010-01-01,129802
2010-02-01,129705
2010-03-01,129865
2010-04-01,130120
2010-05-01,130643
2010-06-01,130509
2010-07-01,130415
2010-08-01,130416
2010-09-01,130342
2010-10-01,130621
2010-11-01,130749
2010-12-01,130830
2011-01-01,130837
2011-02-01,131056
2011-03-01,131282
2011-04-01,131597
2011-05-01,131704
2011-06-01,131931
2011-07-01,131993
2011-08-01,132125
2011-09-01,132344
2011-10-01,132553
2011-11-01,132690
2011-12-01,132888
2012-01-01,133245
2012-02-01,133508
2012-03-01,133748
2012-04-01,133825
2012-05-01,133933
2012-06-01,134012
2012-07-01,134157
2012-08-01,134338
2012-09-01,134517
2012-10-01,134668
2012-11-01,134825
2012-12-01,135074
2013-01-01,135257
2013-02-01,135545
2013-03-01,135689
2013-04-01,135873
2013-05-01,136095
2013-06-01,136279
2013-07-01,136391
2013-08-01,136646
2013-09-01,136821
2013-10-01,137041
2013-11-01,137316
2013-12-01,137373
2014-01-01,137561
2014-02-01,137712
2014-03-01,137985
2014-04-01,138297
2014-05-01,138512
2014-06-01,138849
2014-07-01,139073
2014-08-01,139269
2014-09-01,139563
2014-10-01,139797
2014-11-01,140090
2014-12-01,140364
2015-01-01,140568
2015-02-01,140827
2015-03-01,140923
2015-04-01,141196
2015-05-01,141538
2015-06-01,141709
2015-07-01,141991
2015-08-01,142125
2015-09-01,142275
2015-10-01,142579
2015-11-01,142808
2015-12-01,143077
2016-01-01,143210
2016-02-01,143407
2016-03-01,143662
2016-04-01,143855
2016-05-01,143900
2016-06-01,144146
2016-07-01,144520
2016-08-01,144662
2016-09-01,144967
2016-10-01,145066
2016-11-01,145183
2016-12-01,145408
2017-01-01,145628
2017-02-01,145848
2017-03-01,145969
2017-04-01,146174
2017-05-01,146380
2017-06-01,146583
2017-07-01,146772
2017-08-01,146919
2017-09-01,147007
2017-10-01,147150
2017-11-01,147373
2017-12-01,147523
2018-01-01,147660
2018-02-01,148054
2018-03-01,148280
2018-04-01,148422
2018-05-01,148740
2018-06-01,148959
2018-07-01,149020
2018-08-01,149279
2018-09-01,149358
2018-10-01,149526
2018-11-01,149617
2018-12-01,149809
2019-01-01,150059
2019-02-01,150065
2019-03-01,150295
2019-04-01,150593
2019-05-01,150621
2019-06-01,150839
2019-07-01,150936
2019-08-01,151171
2019-09-01,151365
2019-10-01,151460
2019-11-01,151668
2019-12-01,151795
2020-01-01,152031
2020-02-01,152292
2020-03-01,150895
2020-04-01,130424
2020-05-01,133040
2020-06-01,137671
2020-07-01,139255
2020-08-01,140819
2020-09-01,141770
2020-10-01,142461
2020-11-01,142731
2020-12-01,142548
2021-01-01,142913
2021-02-01,143422
2021-03-01,144246
2021-04-01,144611
2021-05-01,145032
2021-06-01,145828
2021-07-01,146759
2021-08-01,147246
2021-09-01,147712
2021-10-01,148569
2021-11-01,149206
2021-12-01,149781
2022-01-01,150006
2022-02-01,150875
2022-03-01,151346
2022-04-01,151651
2022-05-01,151892
2022-06-01,152353
2022-07-01,153049
2022-08-01,153286
2022-09-01,153513
2022-10-01,153913
2022-11-01,154210
2022-12-01,154336
2023-01-01,154780
2023-02-01,155086
2023-03-01,155171
2023-04-01,155387
2023-05-01,155614
2023-06-01,155871
2023-07-01,156019
2023-08-01,156176
2023-09-01,156334
2023-10-01,156520
2023-11-01,156661
2023-12-01,156930
2024-01-01,157049
2024-02-01,157271
2024-03-01,157517
2024-04-01,157635
2024-05-01,157828
2024-06-01,157915
2024-07-01,158003
2024-08-01,158074
2024-09-01,158314
2024-10-01,158358
2024-11-01,158619
2024-12-01,158942
2025-01-01,159053
2025-02-01,159155
2025-03-01,159275
2025-04-01,159433
2025-05-01,159452
2025-06-01,159439
2025-07-01,159511
2025-08-01,159485
2025-09-01,159593
2025-10-01,159420
2025-11-01,159476
2025-12-01,159526
