Daily Rolling Window Backtest Summary
================================================================================

CONFIGURATION:
  Training window: 30 days
  Rolling period: 200 days
  Position size: 100.0%
  Initial capital: $10000

OVERALL PERFORMANCE:
  Total days analyzed: 200
  Backtest period: 2022-02-17 to 2022-12-02
  Strategy cumulative return: 93.79%
  Buy & Hold cumulative return: -8.60%
    Start: $444.13 on 2022-02-17
    End: $405.93 on 2022-12-02
  Strategy vs. Buy & Hold: +102.39%
  Win rate (positive return days): 58.5%
  Outperformance rate (days beating Buy & Hold): 62.0%

DAILY RESULTS:
  Day 1 (2022-02-17): Strategy 0.00%, B&H -1.66% ($444.13 -> $436.75), Diff +1.66%, Thresholds: Buy=1.90%, Sell=1.20%
  Day 2 (2022-02-18): Strategy -0.03%, B&H -0.03% ($436.44 -> $436.33), Diff -0.00%, Thresholds: Buy=2.00%, Sell=2.00%
  Day 3 (2022-02-22): Strategy 1.28%, B&H 0.75% ($428.71 -> $431.94), Diff +0.52%, Thresholds: Buy=1.80%, Sell=-0.50%
  Day 4 (2022-02-23): Strategy -1.78%, B&H -3.35% ($433.39 -> $418.85), Diff +1.57%, Thresholds: Buy=-0.50%, Sell=1.10%
  Day 5 (2022-02-24): Strategy 3.64%, B&H 2.75% ($414.51 -> $425.90), Diff +0.89%, Thresholds: Buy=-0.50%, Sell=-0.50%
  Day 6 (2022-02-25): Strategy 1.90%, B&H 3.54% ($423.31 -> $438.30), Diff -1.64%, Thresholds: Buy=-0.50%, Sell=-0.50%
  Day 7 (2022-02-28): Strategy 1.31%, B&H 0.89% ($432.14 -> $436.00), Diff +0.41%, Thresholds: Buy=-0.50%, Sell=1.70%
  Day 8 (2022-03-01): Strategy 0.85%, B&H -1.49% ($435.76 -> $429.27), Diff +2.34%, Thresholds: Buy=1.80%, Sell=-0.50%
  Day 9 (2022-03-02): Strategy 2.82%, B&H 1.84% ($429.11 -> $437.00), Diff +0.99%, Thresholds: Buy=1.70%, Sell=2.00%
  Day 10 (2022-03-03): Strategy -0.90%, B&H -1.87% ($437.39 -> $429.21), Diff +0.97%, Thresholds: Buy=1.50%, Sell=2.00%
  Day 11 (2022-03-04): Strategy -0.07%, B&H -0.12% ($432.77 -> $432.24), Diff +0.06%, Thresholds: Buy=1.60%, Sell=1.10%
  Day 12 (2022-03-07): Strategy 0.71%, B&H -1.81% ($425.72 -> $418.01), Diff +2.52%, Thresholds: Buy=2.00%, Sell=-0.50%
  Day 13 (2022-03-08): Strategy 0.18%, B&H -0.65% ($420.20 -> $417.45), Diff +0.83%, Thresholds: Buy=2.00%, Sell=-0.50%
  Day 14 (2022-03-09): Strategy 0.87%, B&H 1.68% ($422.00 -> $429.09), Diff -0.81%, Thresholds: Buy=-0.50%, Sell=1.20%
  Day 15 (2022-03-10): Strategy 0.20%, B&H 0.53% ($424.05 -> $426.29), Diff -0.33%, Thresholds: Buy=1.80%, Sell=-0.50%
  Day 16 (2022-03-11): Strategy -1.10%, B&H -1.51% ($426.50 -> $420.08), Diff +0.41%, Thresholds: Buy=-0.50%, Sell=2.00%
  Day 17 (2022-03-14): Strategy 0.65%, B&H -1.34% ($423.61 -> $417.94), Diff +1.99%, Thresholds: Buy=1.90%, Sell=-0.50%
  Day 18 (2022-03-15): Strategy 2.55%, B&H 2.55% ($415.62 -> $426.22), Diff +0.00%, Thresholds: Buy=2.00%, Sell=1.90%
  Day 19 (2022-03-16): Strategy 1.04%, B&H 1.55% ($429.59 -> $436.25), Diff -0.51%, Thresholds: Buy=-0.50%, Sell=1.70%
  Day 20 (2022-03-17): Strategy 0.57%, B&H 0.74% ($435.32 -> $438.55), Diff -0.17%, Thresholds: Buy=-0.50%, Sell=1.30%
  Day 21 (2022-03-18): Strategy 1.80%, B&H 1.80% ($437.63 -> $445.49), Diff +0.00%, Thresholds: Buy=-0.50%, Sell=1.90%
  Day 22 (2022-03-21): Strategy -0.32%, B&H 0.01% ($443.65 -> $443.70), Diff -0.33%, Thresholds: Buy=1.20%, Sell=1.50%
  Day 23 (2022-03-22): Strategy 0.27%, B&H 0.84% ($445.44 -> $449.19), Diff -0.57%, Thresholds: Buy=1.70%, Sell=1.80%
  Day 24 (2022-03-23): Strategy 0.00%, B&H -0.82% ($448.00 -> $444.34), Diff +0.82%, Thresholds: Buy=2.00%, Sell=1.80%
  Day 25 (2022-03-24): Strategy 0.54%, B&H 0.82% ($446.40 -> $450.04), Diff -0.28%, Thresholds: Buy=-0.50%, Sell=1.30%
